,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana,Cod_Data,codregiao
3429,Centro-Oeste,DF,,53,,,,2022-07-01,26,3015268.0,807705,1969,11766,7,,,,20220701,5
3430,Centro-Oeste,DF,,53,,,,2022-07-02,26,3015268.0,807705,0,11766,0,,,,20220702,5
3431,Centro-Oeste,DF,,53,,,,2022-07-03,27,3015268.0,807705,0,11766,0,,,,20220703,5
3432,Centro-Oeste,DF,,53,,,,2022-07-04,27,3015268.0,810769,3064,11771,5,,,,20220704,5
3433,Centro-Oeste,DF,,53,,,,2022-07-05,27,3015268.0,812403,1634,11777,6,,,,20220705,5
3434,Centro-Oeste,DF,,53,,,,2022-07-06,27,3015268.0,813877,1474,11781,4,,,,20220706,5
3435,Centro-Oeste,DF,,53,,,,2022-07-07,27,3015268.0,815412,1535,11786,5,,,,20220707,5
3436,Centro-Oeste,DF,,53,,,,2022-07-08,27,3015268.0,816855,1443,11790,4,,,,20220708,5
3437,Centro-Oeste,DF,,53,,,,2022-07-09,27,3015268.0,816855,0,11790,0,,,,20220709,5
3438,Centro-Oeste,DF,,53,,,,2022-07-10,28,3015268.0,816855,0,11790,0,,,,20220710,5
3439,Centro-Oeste,DF,,53,,,,2022-07-11,28,3015268.0,818791,1936,11793,3,,,,20220711,5
3440,Centro-Oeste,DF,,53,,,,2022-07-12,28,3015268.0,820584,1793,11797,4,,,,20220712,5
3441,Centro-Oeste,DF,,53,,,,2022-07-13,28,3015268.0,821763,1179,11799,2,,,,20220713,5
3442,Centro-Oeste,DF,,53,,,,2022-07-14,28,3015268.0,822798,1035,11802,3,,,,20220714,5
3443,Centro-Oeste,DF,,53,,,,2022-07-15,28,3015268.0,824297,1499,11803,1,,,,20220715,5
3444,Centro-Oeste,DF,,53,,,,2022-07-16,28,3015268.0,824297,0,11803,0,,,,20220716,5
3445,Centro-Oeste,DF,,53,,,,2022-07-17,29,3015268.0,824297,0,11803,0,,,,20220717,5
3446,Centro-Oeste,DF,,53,,,,2022-07-18,29,3015268.0,825222,925,11806,3,,,,20220718,5
3447,Centro-Oeste,DF,,53,,,,2022-07-19,29,3015268.0,825960,738,11809,3,,,,20220719,5
3448,Centro-Oeste,DF,,53,,,,2022-07-20,29,3015268.0,826655,695,11811,2,,,,20220720,5
3449,Centro-Oeste,DF,,53,,,,2022-07-21,29,3015268.0,827166,511,11813,2,,,,20220721,5
3450,Centro-Oeste,DF,,53,,,,2022-07-22,29,3015268.0,827865,699,11814,1,,,,20220722,5
3451,Centro-Oeste,DF,,53,,,,2022-07-23,29,3015268.0,827865,0,11814,0,,,,20220723,5
3452,Centro-Oeste,DF,,53,,,,2022-07-24,30,3015268.0,827865,0,11814,0,,,,20220724,5
3453,Centro-Oeste,DF,,53,,,,2022-07-25,30,3015268.0,828581,716,11816,2,,,,20220725,5
3454,Centro-Oeste,DF,,53,,,,2022-07-26,30,3015268.0,829079,498,11817,1,,,,20220726,5
3455,Centro-Oeste,DF,,53,,,,2022-07-27,30,3015268.0,829549,470,11817,0,,,,20220727,5
3456,Centro-Oeste,DF,,53,,,,2022-07-28,30,3015268.0,830084,535,11818,1,,,,20220728,5
3457,Centro-Oeste,DF,,53,,,,2022-07-29,30,3015268.0,830565,481,11819,1,,,,20220729,5
3458,Centro-Oeste,DF,,53,,,,2022-07-30,30,3015268.0,830565,0,11819,0,,,,20220730,5
3459,Centro-Oeste,DF,,53,,,,2022-07-31,31,3015268.0,830565,0,11819,0,,,,20220731,5
3460,Centro-Oeste,DF,,53,,,,2022-08-01,31,3015268.0,831184,619,11820,1,,,,20220801,5
3461,Centro-Oeste,DF,,53,,,,2022-08-02,31,3015268.0,831776,592,11821,1,,,,20220802,5
3462,Centro-Oeste,DF,,53,,,,2022-08-03,31,3015268.0,832270,494,11821,0,,,,20220803,5
3463,Centro-Oeste,DF,,53,,,,2022-08-04,31,3015268.0,832723,453,11822,1,,,,20220804,5
3464,Centro-Oeste,DF,,53,,,,2022-08-05,31,3015268.0,833302,579,11822,0,,,,20220805,5
3465,Centro-Oeste,DF,,53,,,,2022-08-06,31,3015268.0,833302,0,11822,0,,,,20220806,5
3466,Centro-Oeste,DF,,53,,,,2022-08-07,32,3015268.0,833302,0,11822,0,,,,20220807,5
3467,Centro-Oeste,DF,,53,,,,2022-08-08,32,3015268.0,834022,720,11822,0,,,,20220808,5
3468,Centro-Oeste,DF,,53,,,,2022-08-09,32,3015268.0,834397,375,11823,1,,,,20220809,5
3469,Centro-Oeste,DF,,53,,,,2022-08-10,32,3015268.0,834795,398,11825,2,,,,20220810,5
3470,Centro-Oeste,DF,,53,,,,2022-08-11,32,3015268.0,834998,203,11825,0,,,,20220811,5
3471,Centro-Oeste,DF,,53,,,,2022-08-12,32,3015268.0,835156,158,11825,0,,,,20220812,5
3472,Centro-Oeste,DF,,53,,,,2022-08-13,32,3015268.0,835156,0,11825,0,,,,20220813,5
3473,Centro-Oeste,DF,,53,,,,2022-08-14,33,3015268.0,835156,0,11825,0,,,,20220814,5
3474,Centro-Oeste,DF,,53,,,,2022-08-15,33,3015268.0,835515,359,11825,0,,,,20220815,5
3475,Centro-Oeste,DF,,53,,,,2022-08-16,33,3015268.0,835660,145,11825,0,,,,20220816,5
3476,Centro-Oeste,DF,,53,,,,2022-08-17,33,3015268.0,835922,262,11825,0,,,,20220817,5
3477,Centro-Oeste,DF,,53,,,,2022-08-18,33,3015268.0,836109,187,11825,0,,,,20220818,5
3478,Centro-Oeste,DF,,53,,,,2022-08-19,33,3015268.0,836215,106,11825,0,,,,20220819,5
3479,Centro-Oeste,DF,,53,,,,2022-08-20,33,3015268.0,836215,0,11825,0,,,,20220820,5
3480,Centro-Oeste,DF,,53,,,,2022-08-21,34,3015268.0,836215,0,11825,0,,,,20220821,5
